verse_id,lang,chars,gpt_tokens,o200k_tokens,spm_tokens,chars_per_gpt_tok,chars_per_o200k_tok,chars_per_spm_tok
84,sa_latn,91,53,40,15,1.7169811320754718,2.275,6.066666666666666
84,hi,165,164,51,37,1.0060975609756098,3.235294117647059,4.45945945945946
84,en,171,36,36,34,4.75,4.75,5.029411764705882
85,sa,102,104,50,19,0.9807692307692307,2.04,5.368421052631579
85,sa_latn,99,61,47,18,1.6229508196721312,2.106382978723404,5.5
85,hi,253,252,76,56,1.003968253968254,3.3289473684210527,4.517857142857143
85,en,256,64,64,55,4.0,4.0,4.654545454545454
86,sa,90,83,39,18,1.0843373493975903,2.3076923076923075,5.0
86,sa_latn,92,41,37,18,2.2439024390243905,2.4864864864864864,5.111111111111111
86,hi,170,155,44,35,1.096774193548387,3.8636363636363638,4.857142857142857
86,en,129,26,26,26,4.961538461538462,4.961538461538462,4.961538461538462
87,sa,86,89,38,16,0.9662921348314607,2.263157894736842,5.375
87,sa_latn,90,45,38,18,2.0,2.3684210526315788,5.0
87,hi,186,182,54,37,1.021978021978022,3.4444444444444446,5.027027027027027
87,en,177,44,45,39,4.0227272727272725,3.933333333333333,4.538461538461538
88,sa,174,171,81,27,1.0175438596491229,2.1481481481481484,6.444444444444445
88,sa_latn,188,122,87,34,1.540983606557377,2.160919540229885,5.529411764705882
88,hi,448,435,145,85,1.0298850574712644,3.089655172413793,5.270588235294118
88,en,420,83,82,71,5.0602409638554215,5.121951219512195,5.915492957746479
89,sa,174,171,81,27,1.0175438596491229,2.1481481481481484,6.444444444444445
89,sa_latn,188,122,87,34,1.540983606557377,2.160919540229885,5.529411764705882
89,hi,448,435,145,85,1.0298850574712644,3.089655172413793,5.270588235294118
89,en,420,83,82,71,5.0602409638554215,5.121951219512195,5.915492957746479
90,sa,84,89,38,17,0.9438202247191011,2.210526315789474,4.9411764705882355
90,sa_latn,90,53,42,16,1.6981132075471699,2.142857142857143,5.625
90,hi,177,170,56,36,1.0411764705882354,3.1607142857142856,4.916666666666667
90,en,187,35,35,32,5.3428571428571425,5.3428571428571425,5.84375
91,sa,104,108,45,18,0.9629629629629629,2.311111111111111,5.777777777777778
91,sa_latn,99,59,43,21,1.6779661016949152,2.302325581395349,4.714285714285714
91,hi,268,251,82,60,1.0677290836653386,3.268292682926829,4.466666666666667
